aster-to-pole_distance_2_um,astere-to-pole_distance_1_um,cell_diameter_um,centrosome,chromosomes,classification,classification_CAT,cleavage_type,cleavage_type_CAT,day_old,distance_between_chromosomes_um,fixation,fixation_CAT,genome,inner_aster_diameter_1_um,inner_aster_diameter_2_um,metaphase_plate_aspect_ratio_um,metaphase_plate_lengt_h_um,metaphase_plate_width_um,microscope,microscope_CAT,num_of_cells,num_of_cells_CAT,num_of_cells_NUM,organism,organism_CAT,outer__diameter_2_um,outer_aster_diameter_1_um,phylum,phylum_CAT,polar_body_diameter_1_um,polar_body_diameter_2_um,spindle_aspect_ratio_asters_um,spindle_aspect_ratio_poles_um,spindle_length__asters_um,spindle_length_poles_um,spindle_width_um,stage,stage_CAT,time_pf
0.0,0.0,235.36122,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,,,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,9.8,7.7,2.833068362480127,2.5675675675675675,28.81494,26.11455,10.17093,mII,5.0,0
,,262.71236,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,,,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,9.8,7.7,2.982832618025751,2.982832618025751,22.476300000000002,22.476300000000002,7.535220000000001,mII,5.0,0
,,258.72700000000003,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,,,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,9.8,7.7,2.3408769448373405,2.3408769448373405,26.76135,26.76135,11.432190000000002,mII,5.0,0
0.0,0.0,221.38032,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,,,1.313131313131313,8.4084,6.403320000000001,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,9.8,7.7,4.649214659685863,4.00523560209424,28.71792,24.7401,6.176940000000001,mII,5.0,0
,,227.3905,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,,,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,9.8,7.7,2.630390143737166,2.630390143737166,20.71377,20.71377,7.874790000000001,mII,5.0,0
,,221.12320000000003,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,,,1.5794392523364487,10.93092,6.92076,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,9.8,7.7,2.1737451737451736,2.1737451737451736,18.20742,18.20742,8.37606,mII,5.0,0
0.0,0.0,215.77248000000003,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,,,1.6901408450704225,9.702,5.74035,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,9.8,7.7,2.987562189054726,2.5771144278606966,19.42017,16.75212,6.5003400000000005,mII,5.0,0
,,227.55120000000002,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,,,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,9.8,7.7,2.382271468144044,1.6842105263157892,27.8124,19.66272,11.674740000000002,mII,5.0,0
,,239.76440000000002,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,,,2.011049723756906,11.77176,5.853540000000001,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,9.8,7.7,2.4107142857142856,2.0517857142857143,21.829500000000003,18.579330000000002,9.055200000000001,mII,5.0,0
0.0,0.0,246.83520000000001,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,,,2.357723577235772,9.3786,3.9778200000000004,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,9.8,7.7,3.7784090909090904,3.232954545454545,21.5061,18.40146,5.691840000000001,mII,5.0,0
0.0,0.0,234.04348000000002,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,4.75398,5.0935500000000005,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,25.85583,25.031160000000003,echinodermata,1,9.8,7.7,2.5205673758865244,2.177304964539007,28.73409,24.82095,11.39985,mII,5.0,0
0.0,0.0,222.44094,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,5.88588,4.786320000000001,,14.132580000000003,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,5.530140000000001,7.7,3.4361493123772107,2.838899803536346,28.281330000000004,23.365650000000002,8.23053,mII,5.0,0
0.0,0.0,182.49092,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,,,,10.8339,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,5.530140000000001,7.7,3.11623246492986,2.6913827655310625,25.144350000000003,21.716310000000004,8.06883,mII,5.0,0
0.0,0.0,222.4088,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,4.91568,3.96165,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,31.499160000000003,34.264230000000005,echinodermata,1,5.530140000000001,7.7,2.979057591623037,2.4659685863874348,27.60219,22.84821,9.26541,mII,5.0,0
0.0,0.0,218.55200000000002,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,,,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,5.530140000000001,7.7,2.476284584980237,1.988142292490118,20.261010000000002,16.26702,8.182020000000001,mII,5.0,0
0.0,0.0,223.4694,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,,,,10.04157,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,5.530140000000001,7.7,2.8294736842105266,2.294736842105263,21.732480000000002,17.625300000000003,7.680750000000001,mII,5.0,0
0.0,0.0,200.55360000000002,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,,,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,5.530140000000001,7.7,2.215877437325905,1.735376044568245,25.72647,20.14782,11.61006,mII,5.0,0
0.0,0.0,221.80389000000002,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,5.1744,5.756520000000001,1.8392857142857146,13.324080000000002,7.24416,mm40,1.0,1,1.0,1.0,asterina_miniata,1,28.55622,22.91289,echinodermata,1,5.530140000000001,7.7,2.771869639794168,2.5780445969125214,26.13072,24.303510000000003,9.42711,mII,5.0,0
0.0,0.0,235.39336,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,1.71402,3.47655,,10.413480000000002,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,29.73663,27.27879,echinodermata,1,5.530140000000001,7.7,3.3200992555831266,2.6600496277915635,21.635460000000002,17.33424,6.51651,mII,5.0,0
0.0,0.0,195.26892,1,36.0,bd,1,rah,1,140110,0.0,pf,1.0,811.0,3.6867600000000005,3.6867600000000005,2.2560240963855422,12.111330000000002,5.3684400000000005,mm40,1.0,1,1.0,1.0,asterina_miniata,1,19.33932,19.64655,echinodermata,1,5.530140000000001,7.7,3.1849315068493156,2.7157534246575343,30.076200000000004,25.64562,9.44328,mII,5.0,0
0.0,0.0,220.23540000000003,1,36.0,bd,1,rah,1,140110,0.0,pf,1.0,811.0,,,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,5.530140000000001,7.7,2.4458955223880596,2.1417910447761193,21.19887,18.56316,8.66712,mII,5.0,0
0.0,0.0,197.45186999999999,1,36.0,bd,1,rah,1,140110,0.0,pf,1.0,811.0,3.42804,3.21783,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,5.530140000000001,7.7,3.527058823529412,2.9129411764705884,24.238830000000004,20.01846,6.87225,mII,5.0,0
0.0,0.0,221.65836000000002,1,36.0,bd,1,rah,1,140110,0.0,pf,1.0,811.0,3.05613,3.96165,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,16.477230000000002,17.35041,echinodermata,1,5.530140000000001,7.7,2.580645161290323,2.1431451612903225,20.6976,17.18871,8.02032,mII,5.0,0
0.0,0.0,211.82700000000003,1,36.0,bd,1,rah,1,140110,0.0,pf,1.0,811.0,4.10718,3.60591,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,17.900190000000002,21.45759,echinodermata,1,5.530140000000001,7.7,3.012216404886562,2.5968586387434565,27.90942,24.060960000000005,9.26541,mII,5.0,0
0.0,0.0,201.89862,1,36.0,bd,1,rah,1,140110,0.0,pf,1.0,811.0,3.96165,4.301220000000001,1.4109890109890109,10.38114,7.35735,mm40,1.0,1,1.0,1.0,asterina_miniata,1,17.72232,15.32916,echinodermata,1,5.530140000000001,7.7,3.473451327433628,2.9867256637168142,25.3869,21.829500000000003,7.308840000000001,mII,5.0,0
0.0,0.0,244.19934000000003,1,36.0,bd,1,rah,1,140110,0.0,pf,1.0,811.0,4.10718,4.34973,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,20.794620000000002,22.08822,echinodermata,1,5.530140000000001,7.7,2.849480968858131,2.3771626297577853,26.63199,22.21758,9.346260000000001,mII,5.0,0
0.0,0.0,206.08665000000002,1,36.0,bd,1,rah,1,140110,0.0,pf,1.0,811.0,4.59228,4.301220000000001,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,18.04572,15.490860000000001,echinodermata,1,5.530140000000001,7.7,3.5515267175572522,2.9618320610687023,30.092370000000003,25.09584,8.47308,mII,5.0,0
0.0,0.0,179.50316999999998,1,36.0,bd,1,rah,1,140110,0.0,pf,1.0,811.0,5.1744,4.98036,,11.965800000000002,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,19.59804,19.54953,echinodermata,1,5.530140000000001,7.7,3.1187499999999995,2.620833333333333,24.20649,20.34186,7.7616000000000005,mII,5.0,0
0.0,0.0,197.274,1,36.0,bd,1,rah,1,140110,0.0,pf,1.0,811.0,4.43058,3.6867600000000005,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,28.57239,32.92212,echinodermata,1,5.530140000000001,7.7,3.72992700729927,3.104622871046229,24.788610000000002,20.632920000000002,6.64587,mII,5.0,0
0.0,2.2638000000000003,214.22016,1,36.0,bd,1,rah,1,140110,0.0,pf,1.0,811.0,6.19311,4.931850000000001,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,19.727400000000003,24.093300000000003,echinodermata,1,5.530140000000001,7.7,2.977883096366509,2.2353870458135865,30.48045,22.880550000000003,10.23561,mII,5.0,0
0.0,0.0,217.42182,1,36.0,bd,1,rah,1,140110,0.0,pf,1.0,811.0,4.62462,4.62462,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,33.90849,26.971560000000004,echinodermata,1,5.530140000000001,7.7,3.093525179856115,2.4874100719424463,27.8124,22.363110000000002,8.99052,mII,5.0,0
0.0,0.0,233.18757,1,36.0,bd,1,rah,1,140110,0.0,pf,1.0,811.0,4.81866,,2.4358208955223883,13.19472,5.41695,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,5.530140000000001,7.7,3.5525114155251143,3.036529680365297,25.16052,21.5061,7.08246,mII,5.0,0
0.0,0.0,236.32455000000002,1,36.0,bd,1,rah,1,140324,0.0,pf,1.0,811.0,5.3684400000000005,,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,29.52642,31.757880000000004,echinodermata,1,5.530140000000001,7.7,2.330812854442344,1.714555765595463,19.93761,14.666190000000002,8.553930000000001,mII,5.0,0
0.0,0.0,223.25919000000002,1,36.0,bd,1,rah,1,140324,0.0,pf,1.0,811.0,5.12589,4.54377,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,23.1231,19.517190000000003,echinodermata,1,5.530140000000001,7.7,4.004255319148936,3.7276595744680847,30.43194,28.32984,7.599900000000001,mII,5.0,0
0.0,0.0,231.60291,1,36.0,bd,1,rah,1,140324,0.0,pf,1.0,811.0,5.530140000000001,6.5650200000000005,,14.261940000000001,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,33.40722,33.617430000000006,echinodermata,1,5.530140000000001,7.7,2.402409638554217,1.691566265060241,32.24298,22.70268,13.421100000000001,mII,5.0,0
0.0,0.0,208.81938000000002,1,36.0,bd,1,rah,1,140324,0.0,pf,1.0,811.0,6.581190000000001,5.497800000000001,2.3884057971014494,13.324080000000002,5.5786500000000006,mm40,1.0,1,1.0,1.0,asterina_miniata,1,19.85676,23.672880000000003,echinodermata,1,5.530140000000001,7.7,2.661129568106312,2.0996677740863787,25.90434,20.43888,9.734340000000001,mII,5.0,0
