cell diameter,SD,sl-pole,SD,organism
1334.4,125.2,51.6,5.5,laevis
996.6,53.3,45.5,6.1,laevis
646.9,62.2,54.2,6.5,laevis
489.2,5.6,51.1,3.6,laevis
336.7,20.3,53.2,7.5,laevis
264.9,10.5,50.8,5.8,laevis
238.6,9,43.2,6.5,laevis
221.4,3.6,43.3,5.3,laevis
206.1,2.6,44.5,4.5,laevis
194.2,2.7,41.4,3.2,laevis
175.3,3.2,37.7,2.8,laevis
163.4,2.3,36.4,3.2,laevis
155.9,4,37.9,5.6,laevis
141,0.42,37.3,7.3,laevis
136.4,3.2,40.8,5.5,laevis
123.1,3,38.8,3.5,laevis
114.1,2.2,34.4,6.6,laevis
104.8,0,32.3,0,laevis
95.2,3.5,38.7,7.6,laevis
82.8,3.2,29.5,4.1,laevis
75.8,2.6,29.6,3.4,laevis
64,3.3,25.4,0.8,laevis
54.8,3.9,22.8,4.8,laevis
43.8,2.3,17.8,4.4,laevis
34.2,3.2,14.2,2,laevis
25.6,2.7,13.3,2,laevis
230,6.3,24.1,0.9,robusta
195.5,2,25.8,4.3,robusta
165.4,4.3,27.1,5.6,robusta
155.4,2.6,27,5.3,robusta
144.8,1.7,25.6,7,robusta
132.7,2,19.8,5.6,robusta
125.5,4,26,11,robusta
114.3,1.7,28,6.2,robusta
106.2,2.8,21.8,2,robusta
95.5,6,14.9,2.7,robusta
85.2,3,14.8,4.4,robusta
65.9,3,13,2.3,robusta
54.5,3.4,18.3,0.4,robusta
48.6,0.6,14.9,0.8,robusta
34.2,3.3,13.1,4.3,robusta
26.5,2,12.3,3.2,robusta
14,4.2,7.6,4,robusta
52.9,3,15.6,2.7,elegans
35.8,0.7,8.2,0.9,elegans
23.8,0.2,7.4,0.3,elegans
14,3.1,5,1.5,elegans
6.9,1.4,3.6,1,elegans
103.9,6.1,20.9,1.5,purpuratus
95.4,2.7,19.6,2.2,purpuratus
85,2.9,19,2.5,purpuratus
73.5,3.1,16.3,4,purpuratus
64.6,3,16,2.9,purpuratus
54.6,3,14,2.1,purpuratus
45.2,2.5,12.7,1.6,purpuratus
33.5,2.9,11.2,1.8,purpuratus
25.9,2.9,10,1.8,purpuratus
17.6,1.8,8.4,1.9,purpuratus
189.1,4.9,37.7,0.3,caupo
173.1,1.9,32.2,1,caupo
164.7,2.7,35.6,1.8,caupo
154.5,2.3,37,0.6,caupo
144.4,1.1,35.6,5.2,caupo
126.5,0,40,0,caupo
112.3,2.5,38.2,2,caupo
105.2,2.8,37.7,3,caupo
96,2.4,33.1,4.6,caupo
84.7,3,31.3,4.8,caupo
74.4,2.6,26.2,4.2,caupo
65.5,2.9,24.8,4,caupo
56.3,2.8,23.5,3.5,caupo
46.5,3.1,23.5,4.9,caupo
35.6,4.3,19,0.5,caupo
224,4.3,33,7.2,miniata
215.4,3.3,34.1,10.7,miniata
202.7,2.9,32.3,5.7,miniata
194.4,2.3,32.1,6.4,miniata
183.9,3.7,32.2,5.4,miniata
176.2,2.2,31,2.9,miniata
164.2,3,28.8,4.7,miniata
153,2.7,29,4.8,miniata
146,3,30.9,4.8,miniata
133.9,2.2,21.4,3,miniata
124.5,3,30.7,5.4,miniata
114.1,2.2,27.9,4.1,miniata
105.9,1.5,27.2,4.6,miniata
95.4,2.8,27.8,2.7,miniata
82.5,1.8,24.6,4.4,miniata
76.2,2.5,23.9,4.4,miniata
64.8,2.7,21.2,3.2,miniata
55.2,3.8,19.1,3.6,miniata
46.6,2.1,14.3,2.4,miniata
101.1,1.3,28.6,0.7,marginatus
95.6,2,24.9,1.6,marginatus
74.5,0.7,23.7,1,marginatus
56,1.5,18.2,1.5,marginatus
48,0.7,18.9,2.8,marginatus
37.2,1.5,16,1.3,marginatus
25.8,3.2,12.8,1.1,marginatus
176.9,2.5,22.4,0.6,intestinalis
152.5,2.4,23.3,1.2,intestinalis
141.6,0,24.4,0,intestinalis
115.3,2.7,25.5,2,intestinalis
107.2,2.1,24.4,2.3,intestinalis
93.9,2.6,22,2.9,intestinalis
86,2.2,18.5,8.5,intestinalis
72.5,4.4,14.3,1.4,intestinalis
65.9,2,15.8,1.5,intestinalis
53.8,3.1,15,1.6,intestinalis
44.7,3.2,14.5,1.4,intestinalis
35.1,2.9,11.9,1.3,intestinalis
71.6,1,23.1,1.8,musculus
66.4,4,26.1,2.1,musculus
53.4,2.2,25.4,1.4,musculus
45.6,2.3,24.2,2.3,musculus
34.1,2.8,20.7,1.9,musculus
25.7,2.7,16.2,2.3,musculus
16.4,2.2,10.1,2.2,musculus
