,inner_aster_diameter_1_um,inner_aster_diameter_2_um,cell_diameter_um,meiotic,stage,organism,organism_CAT,inner_aster_diam_AVG
1,6.4356599999999995,7.535220000000002,163.05828,0,m,asterina_miniata,1,6.9854400000000005
3,8.359890000000002,9.168389999999999,194.04,0,m,asterina_miniata,1,8.764140000000001
5,5.9990700000000015,5.95056,149.05506,0,m,asterina_miniata,1,5.974815000000001
6,5.44929,5.41695,150.36483,0,m,asterina_miniata,1,5.433120000000001
9,8.052660000000001,10.78539,181.28187,0,m,asterina_miniata,1,9.419025000000001
10,6.5650200000000005,7.389690000000001,160.27704000000003,0,m,asterina_miniata,1,6.977355000000001
11,,,151.41588000000004,0,m,asterina_miniata,1,
12,9.96072,7.632240000000001,191.33961000000002,0,m,asterina_miniata,1,8.79648
13,6.27396,8.085,177.22320000000005,0,m,asterina_miniata,1,7.17948
15,16.584239999999998,,125.70558,0,m,asterina_miniata,1,16.584239999999998
17,28.54032,28.443900000000006,217.8,0,m,asterina_miniata,1,28.492110000000004
18,12.59888,13.048840000000002,212.7668,0,m,asterina_miniata,1,12.82386
22,16.937780000000004,16.26284,179.08408000000003,0,m,asterina_miniata,1,16.60031
23,22.0159,21.40524,229.9,0,m,asterina_miniata,1,21.710569999999997
24,10.9276,,220.9,0,m,asterina_miniata,1,10.9276
25,17.966260000000005,24.587100000000003,197.1,0,m,asterina_miniata,1,21.276680000000006
26,24.715660000000003,25.93698,207.8,0,m,asterina_miniata,1,25.326320000000003
27,18.44836,15.941440000000002,169.89203999999998,0,m,asterina_miniata,1,17.1949
28,18.834039999999998,17.259179999999997,193.0,0,m,asterina_miniata,1,18.046609999999998
29,22.85154,22.722980000000003,183.7,0,m,asterina_miniata,1,22.787260000000003
30,14.880820000000002,15.62004,201.5,0,m,asterina_miniata,1,15.250430000000001
31,20.794580000000003,21.01956,224.4,0,m,asterina_miniata,1,20.90707
32,20.11964,17.901980000000005,212.4,0,m,asterina_miniata,1,19.010810000000003
33,23.07652,22.0159,212.50968000000003,0,m,asterina_miniata,1,22.54621
34,15.65218,19.15544,220.9,0,m,asterina_miniata,1,17.40381
35,16.937780000000004,17.00206,200.9,0,m,asterina_miniata,1,16.969920000000002
36,14.3023,19.6054,172.4311,0,m,asterina_miniata,1,16.95385
37,16.68066,19.15544,201.26068000000004,0,m,asterina_miniata,1,17.91805
39,14.366580000000004,11.66682,219.9,0,m,asterina_miniata,1,13.016700000000002
42,23.71932,22.722980000000003,202.22488,0,m,asterina_miniata,1,23.22115
43,11.53826,11.21686,197.2,0,m,asterina_miniata,1,11.377559999999999
44,,,162.40341999999998,0,m,asterina_miniata,1,
45,6.07446,4.6603,144.85498,0,m,asterina_miniata,1,5.367380000000001
46,4.8210000000000015,,148.90462000000005,0,m,asterina_miniata,1,4.8210000000000015
47,5.5786500000000006,,180.69975,0,m,asterina_miniata,1,5.5786500000000006
49,4.6893,5.44929,148.19805000000005,0,m,asterina_miniata,1,5.069295
50,,,149.96058,0,m,asterina_miniata,1,
51,4.98036,4.26888,152.75798999999998,0,m,asterina_miniata,1,4.62462
53,5.287590000000002,4.18803,154.5852,0,m,asterina_miniata,1,4.737810000000001
56,5.287590000000002,4.18803,123.39327000000002,0,m,asterina_miniata,1,4.737810000000001
57,4.8833400000000005,5.41695,153.50181,0,m,asterina_miniata,1,5.150145
59,5.80503,5.756520000000001,115.84188,0,m,asterina_miniata,1,5.780775
60,5.610990000000001,6.93693,160.63278,0,m,asterina_miniata,1,6.273960000000001
61,5.41695,4.786320000000001,163.30083000000005,0,m,asterina_miniata,1,5.101635
62,5.287590000000002,6.241620000000001,157.1724,0,m,asterina_miniata,1,5.764605000000001
63,5.756520000000001,4.98036,99.08976,0,m,asterina_miniata,1,5.3684400000000005
66,9.3786,,145.43298,0,m,asterina_miniata,1,9.3786
67,7.033950000000001,6.2092800000000015,105.54159,0,m,asterina_miniata,1,6.621615000000001
68,7.01778,5.643330000000001,151.44822000000005,0,m,asterina_miniata,1,6.330555
69,7.2603300000000015,7.066290000000001,177.61128000000005,0,m,asterina_miniata,1,7.163310000000001
70,8.343720000000001,7.227990000000001,176.85128999999998,0,m,asterina_miniata,1,7.7858550000000015
71,5.88588,6.19311,154.52052,0,m,asterina_miniata,1,6.0394950000000005
72,6.4356599999999995,5.80503,149.02272000000005,0,m,asterina_miniata,1,6.120345
73,3.7191,4.18803,132.33528,0,m,asterina_miniata,1,3.953565
74,7.535220000000002,6.4356599999999995,149.18442000000005,0,m,asterina_miniata,1,6.9854400000000005
75,6.27396,7.01778,164.83698,0,m,asterina_miniata,1,6.64587
76,5.9990700000000015,6.5650200000000005,166.04973000000004,0,m,asterina_miniata,1,6.282045000000001
78,7.1956500000000005,5.5786500000000006,154.92477000000005,0,m,asterina_miniata,1,6.38715
79,8.133510000000001,5.95056,149.66952,0,m,asterina_miniata,1,7.042035
80,6.0799199999999995,6.241620000000001,174.23175,0,m,asterina_miniata,1,6.16077
81,7.325010000000001,5.918220000000002,150.42951000000002,0,m,asterina_miniata,1,6.621615000000001
82,7.793940000000001,8.02032,157.94856,0,m,asterina_miniata,1,7.90713
83,7.84245,,160.81065,0,m,asterina_miniata,1,7.84245
85,6.1446000000000005,4.8186599999999995,175.83258000000004,0,m,asterina_miniata,1,5.48163
86,9.99306,6.7752300000000005,187.39413,0,m,asterina_miniata,1,8.384145
88,4.6569600000000015,5.12589,146.85594,0,m,asterina_miniata,1,4.891425000000001
89,8.182020000000001,7.7616,181.16868,0,m,asterina_miniata,1,7.9718100000000005
90,6.581190000000001,7.033950000000001,164.19018,0,m,asterina_miniata,1,6.807570000000001
91,11.432190000000002,11.93346,150.02526,0,m,asterina_miniata,1,11.682825000000001
92,8.683290000000001,7.09863,105.41223,0,m,asterina_miniata,1,7.890960000000001
94,9.47562,8.02032,81.93339,0,m,asterina_miniata,1,8.747969999999999
95,18.530820000000002,19.96995,167.48886000000005,0,m,asterina_miniata,1,19.250385
96,10.154760000000001,10.76922,118.07334000000002,0,m,asterina_miniata,1,10.46199
97,11.70708,9.83136,114.19254,0,m,asterina_miniata,1,10.76922
99,17.4636,10.8339,128.85873,0,m,asterina_miniata,1,14.14875
102,8.182020000000001,,125.8026,0,m,asterina_miniata,1,8.182020000000001
103,10.78539,8.052660000000001,105.2667,0,m,asterina_miniata,1,9.419025000000001
104,11.70708,11.432190000000002,142.19898,0,m,asterina_miniata,1,11.569635000000002
105,9.79902,10.93092,80.91468,0,m,asterina_miniata,1,10.36497
106,11.319,10.623690000000002,143.20152000000004,0,m,asterina_miniata,1,10.971345000000001
107,9.78285,8.45691,161.24723999999998,0,m,asterina_miniata,1,9.11988
108,9.96072,9.410940000000002,114.9687,0,m,asterina_miniata,1,9.685830000000001
109,24.35202,17.948700000000006,189.69027,0,m,asterina_miniata,1,21.150360000000003
110,13.89003,17.23722,143.47641000000004,0,m,asterina_miniata,1,15.563625
111,9.50796,9.62115,143.1045,0,m,asterina_miniata,1,9.564555
112,18.70869,16.94616,124.0239,0,m,asterina_miniata,1,17.827424999999998
113,10.1871,10.413480000000002,141.08325000000005,0,m,asterina_miniata,1,10.30029
