aster-to-pole_distance_2_um,astere-to-pole_distance_1_um,cell_diameter_um,centrosome,chromosomes,classification,classification_CAT,cleavage_type,cleavage_type_CAT,day_old,distance_between_chromosomes_um,fixation,fixation_CAT,genome,inner_aster_diameter_1_um,inner_aster_diameter_2_um,metaphase_plate_aspect_ratio_um,metaphase_plate_lengt_h_um,metaphase_plate_width_um,microscope,microscope_CAT,num_of_cells,num_of_cells_CAT,num_of_cells_NUM,organism,organism_CAT,outer__diameter_2_um,outer_aster_diameter_1_um,phylum,phylum_CAT,polar_body_diameter_1_um,polar_body_diameter_2_um,spindle_aspect_ratio_asters_um,spindle_aspect_ratio_poles_um,spindle_length__asters_um,spindle_length_poles_um,spindle_width_um,stage,stage_CAT,time_pf
2.9106,2.5872,177.82149,1,36.0,bd,1,rah,1,131106,10.55901,pf,1.0,811.0,6.93693,7.40586,,12.6126,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,40.39266000000001,43.15773,echinodermata,1,,,2.86241610738255,1.8076062639821027,41.37903,26.13072,14.455980000000002,a,1.0,210
0.0,0.0,163.05828,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,6.43566,7.535220000000001,3.74496644295302,9.02286,2.40933,mm40,1.0,1,1.0,1.0,asterina_miniata,1,37.32036,35.16975,echinodermata,1,,,2.4910858995137763,1.833063209076175,24.85329,18.28827,9.976890000000001,m,2.0,210
0.0,0.0,206.00580000000002,1,36.0,bd,1,rah,1,131106,,pf,1.0,811.0,6.93693,6.403320000000001,,16.056810000000002,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,39.115230000000004,49.60956,echinodermata,1,8.23053,,2.3977900552486187,1.861878453038674,35.0889,27.246450000000003,14.63385,p,3.0,210
0.0,0.0,194.04000000000002,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,8.359890000000002,9.16839,1.9196787148594379,7.72926,4.02633,mm40,1.0,1,1.0,1.0,asterina_miniata,1,35.719530000000006,42.18753,echinodermata,1,8.23053,,2.4277777777777776,2.4277777777777776,42.39774,42.39774,17.4636,m,2.0,210
,,180.36018,1,36.0,bd,1,rah,1,131106,,pf,1.0,811.0,,,,,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,,,echinodermata,1,10.33263,10.785390000000001,,,,,,,,210
,2.6033700000000004,149.05506,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,5.999070000000001,5.95056,1.7445652173913042,10.38114,5.95056,mm40,1.0,2,2.0,2.0,asterina_miniata,1,,,echinodermata,1,10.33263,10.785390000000001,2.845288326300985,1.9310829817158934,32.71191,22.201410000000003,11.49687,m,2.0,210
5.061210000000001,4.18803,150.36483,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,5.44929,5.41695,2.298013245033113,11.221980000000002,4.8833400000000005,mm40,1.0,2,2.0,2.0,asterina_miniata,1,,,echinodermata,1,10.33263,10.785390000000001,2.526109660574413,1.4490861618798958,31.288950000000003,17.948700000000002,12.38622,m,2.0,210
3.8969700000000005,6.7105500000000005,197.29017,1,36.0,bd,1,rah,1,131106,19.04826,pf,1.0,811.0,7.40586,9.00669,,13.615140000000002,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,68.70633,88.54692000000001,echinodermata,1,10.623690000000002,10.785390000000001,3.1337047353760443,2.1439182915506034,54.573750000000004,37.33653,17.415090000000003,a,1.0,210
11.12496,14.65002,176.59257,1,36.0,bd,1,rah,1,131106,12.14367,pf,1.0,811.0,4.3659,9.3786,,11.20581,,mm40,1.0,1,1.0,1.0,asterina_miniata,1,85.83036,77.90706,echinodermata,1,9.96072,10.785390000000001,4.839407744874715,2.8177676537585423,68.70633,40.004580000000004,14.19726,a,1.0,210
1.9404000000000001,5.6595,181.28187,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,8.05266,10.785390000000001,2.247978436657682,13.485780000000002,5.999070000000001,mm40,1.0,1,1.0,1.0,asterina_miniata,1,36.81909,36.964620000000004,echinodermata,1,10.785390000000001,10.33263,3.022988505747126,1.9425287356321839,42.527100000000004,27.3273,14.067900000000002,m,2.0,210
0.0,4.0425,160.27704000000003,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,6.5650200000000005,7.389690000000001,2.8410404624277454,15.89511,5.59482,mm40,1.0,2,2.0,2.0,asterina_miniata,1,29.235360000000004,27.294960000000003,echinodermata,1,10.785390000000001,10.33263,2.4921135646687698,1.6046267087276551,38.322900000000004,24.67542,15.37767,m,2.0,210
,,151.41588000000002,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,,,2.812680115273775,15.78192,5.610990000000001,mm40,1.0,2,2.0,2.0,asterina_miniata,1,,,echinodermata,1,10.785390000000001,10.33263,4.848958333333333,3.2291666666666665,45.16281000000001,30.076200000000004,9.313920000000001,m,2.0,210
3.94548,3.18549,191.33961,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,9.96072,7.632240000000001,2.6568047337278107,14.520660000000001,5.46546,mm40,1.0,1,1.0,1.0,asterina_miniata,1,52.568670000000004,53.79759,echinodermata,1,12.15984,10.33263,2.3867069486404833,1.5035246727089626,38.322900000000004,24.141810000000003,16.056810000000002,m,2.0,210
6.27396,5.80503,177.22320000000002,1,36.0,bd,1,rah,1,131106,0.0,pf,1.0,811.0,6.27396,8.085,2.4169741697416973,10.59135,4.382070000000001,mm40,1.0,2,2.0,2.0,asterina_miniata,1,45.72876000000001,50.06232000000001,echinodermata,1,12.15984,10.33263,3.3782961460446255,2.13184584178499,53.86227000000001,33.98934,15.94362,m,2.0,210
10.3488,9.87987,171.85476,1,36.0,bd,1,rah,1,131106,25.01499,pf,1.0,811.0,9.00669,8.05266,,10.89858,,mm40,1.0,2,2.0,2.0,asterina_miniata,1,76.95303,80.99553,echinodermata,1,12.15984,10.33263,4.844110854503464,2.920323325635104,67.83315,40.893930000000005,14.00322,a,1.0,210
7.2636400000000005,3.8889400000000003,125.70558,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,16.58424,,3.8000000000000003,15.2665,4.0175,mm20,2.0,1,1.0,1.0,asterina_miniata,1,,52.35606000000001,echinodermata,1,12.15984,10.33263,4.1039603960396045,2.3193069306930694,53.288120000000006,30.115180000000002,12.98456,m,2.0,120
,5.656640000000001,185.7692,1,36.0,bd,1,rah,1,140603,31.04724,df,2.0,811.0,22.75512,,,17.13062,,mm20,2.0,1,1.0,1.0,asterina_miniata,1,140.25896,137.43064,echinodermata,1,12.15984,10.33263,4.202602230483272,2.4535315985130115,72.66854000000001,42.424800000000005,17.29132,a,1.0,120
7.7136000000000005,9.9634,217.8,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,28.54032,28.443900000000003,1.7437722419928827,15.748600000000001,9.03134,mm20,2.0,1,1.0,1.0,asterina_miniata,1,86.97084000000001,86.39232000000001,echinodermata,1,12.15984,10.33263,2.756658595641646,2.0665859564164646,73.18278,54.86298,26.54764,m,2.0,120
6.87796,4.306760000000001,212.76680000000002,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,12.598880000000001,13.048840000000002,2.077319587628866,12.95242,6.23516,mm20,2.0,1,1.0,1.0,asterina_miniata,1,50.97404,67.36544,echinodermata,1,12.15984,10.33263,3.7171215880893302,2.009925558312655,48.145720000000004,26.0334,12.95242,m,2.0,120
0.0,0.0,219.32336,1,36.0,bd,1,rah,1,140603,8.96706,df,2.0,811.0,20.63388,23.590760000000003,,12.598880000000001,,mm20,2.0,1,1.0,1.0,asterina_miniata,1,84.81746,70.5473,echinodermata,1,12.15984,10.33263,2.810666666666667,2.188,67.75112000000001,52.74174,24.105,a,1.0,120
0.0,0.0,242.88198000000003,1,36.0,bd,1,rah,1,140603,14.88082,df,2.0,811.0,45.25312000000001,35.86824,,14.1416,,mm20,2.0,1,1.0,1.0,asterina_miniata,1,103.0087,114.61124000000001,echinodermata,1,12.15984,10.33263,2.6875,1.3723404255319147,64.95494000000001,33.16848,24.169280000000004,a,1.0,120
8.9992,12.759580000000001,220.60896,1,36.0,bd,1,rah,1,140603,19.476840000000003,df,2.0,811.0,41.71772000000001,41.97484,,16.905640000000002,,mm20,2.0,1,1.0,1.0,asterina_miniata,1,106.92978000000001,100.56606,echinodermata,1,12.15984,10.33263,2.5790554414784395,1.1303901437371662,80.73568,35.38614,31.304360000000003,a,1.0,120
5.27096,8.42068,179.08408000000003,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,16.937780000000004,16.26284,3.08,14.848680000000002,4.821000000000001,mm20,2.0,1,1.0,1.0,asterina_miniata,1,92.62748,67.14046,echinodermata,1,12.15984,10.33263,3.55188679245283,2.0330188679245285,48.40284,27.704680000000003,13.62736,m,2.0,120
12.116780000000002,10.31694,229.9,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,22.015900000000002,21.40524,2.0408163265306123,16.07,7.874300000000001,mm20,2.0,1,1.0,1.0,asterina_miniata,1,69.74380000000001,70.67586,echinodermata,1,12.15984,10.33263,3.2981878088962104,1.4036243822075782,64.34428,27.383280000000003,19.50898,m,2.0,120
10.70262,9.19204,220.9,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,10.9276,,2.7880794701986757,13.530940000000001,4.85314,mm20,2.0,1,1.0,1.0,asterina_miniata,1,72.1543,80.57498,echinodermata,1,13.3381,10.33263,3.61336032388664,1.7732793522267207,57.3699,28.15464,15.87716,m,2.0,120
16.00572,16.8735,197.1,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,17.966260000000002,24.587100000000003,2.0039370078740157,16.35926,8.16356,mm20,2.0,2,2.0,2.0,asterina_miniata,1,82.56766,84.84960000000001,echinodermata,1,15.68432,10.33263,4.0083194675540765,1.7487520798668883,77.42526000000001,33.77914,19.31614,m,2.0,120
13.530940000000001,10.34908,207.8,1,36.0,bd,1,rah,1,140603,0.0,df,2.0,811.0,24.715660000000003,25.936980000000002,1.7103174603174605,13.852340000000002,8.09928,mm20,2.0,2,2.0,2.0,asterina_miniata,1,88.64212,78.67872000000001,echinodermata,1,15.68432,10.33263,5.288590604026845,2.1789709172259504,75.97896,31.304360000000003,14.366580000000003,m,2.0,120
