"","cell_diameter_um","spindle_length__asters_um","spindle_length_poles_um","spindle_width_um","spindle_aspect_ratio_asters_um","spindle_aspect_ratio_poles_um","metaphase_plate_lengt_h_um","metaphase_plate_width_um","metaphase_plate_aspect_ratio_um","distance_between_chromosomes_um","genome","astere.to.pole_distance_AVG","inner_aster_diameter_AVG","polar_body_diameter_AVG","outer_aster_diameter_AVG"
"2",163.05828,24.85329,18.28827,9.97689,2.49108589951378,1.83306320907617,9.02286,2.40933,3.74496644295302,0,811,0,6.98544,7.18725306699115,36.245055
"4",194.04,42.39774,42.39774,17.4636,2.42777777777778,2.42777777777778,7.72926,4.02633,1.91967871485944,0,811,0,8.76414,8.23053,38.95353
"6",149.05506,32.71191,22.20141,11.49687,2.84528832630098,1.93108298171589,10.38114,5.95056,1.7445652173913,0,811,2.82621275923164,5.974815,10.55901,30.819384867614
"7",150.36483,31.28895,17.9487,12.38622,2.52610966057441,1.4490861618799,11.22198,4.88334,2.29801324503311,0,811,4.62462,5.43312,10.55901,29.3895830189729
"10",181.28187,42.5271,27.3273,14.0679,3.02298850574713,1.94252873563218,13.48578,5.99907,2.24797843665768,0,811,3.79995,9.419025,10.55901,36.891855
"11",160.27704,38.3229,24.67542,15.37767,2.49211356466877,1.60462670872766,15.89511,5.59482,2.84104046242775,0,811,2.02125,6.977355,10.55901,28.26516
"12",151.41588,45.16281,30.0762,9.31392,4.84895833333333,3.22916666666667,15.78192,5.61099,2.81268011527377,0,811,2.28997561103742,10.6886170881565,10.55901,53.1048436454412
"13",191.33961,38.3229,24.14181,16.05681,2.38670694864048,1.50352467270896,14.52066,5.46546,2.65680473372781,0,811,3.565485,8.79648,11.246235,53.18313
"14",177.2232,53.86227,33.98934,15.94362,3.37829614604463,2.13184584178499,10.59135,4.38207,2.4169741697417,0,811,6.039495,7.17948,11.246235,47.89554
"16",125.70558,53.28812,30.11518,12.98456,4.1039603960396,2.31930693069307,15.2665,4.0175,3.8,0,811,5.57629,16.58424,11.246235,52.35606
"18",217.8,73.18278,54.86298,26.54764,2.75665859564165,2.06658595641646,15.7486,9.03134,1.74377224199288,0,811,8.8385,28.49211,11.246235,86.68158
"19",212.7668,48.14572,26.0334,12.95242,3.71712158808933,2.00992555831266,12.95242,6.23516,2.07731958762887,0,811,5.59236,12.82386,11.246235,59.16974
"23",179.08408,48.40284,27.70468,13.62736,3.55188679245283,2.03301886792453,14.84868,4.821,3.08,0,811,6.84582,16.60031,11.246235,79.88397
"24",229.9,64.34428,27.38328,19.50898,3.29818780889621,1.40362438220758,16.07,7.8743,2.04081632653061,0,811,11.21686,21.71057,11.246235,70.20983
"25",220.9,57.3699,28.15464,15.87716,3.61336032388664,1.77327935222672,13.53094,4.85314,2.78807947019868,0,811,9.94733,10.9276,11.835365,76.36464
"26",197.1,77.42526,33.77914,19.31614,4.00831946755408,1.74875207986689,16.35926,8.16356,2.00393700787402,0,811,16.43961,21.27668,13.008475,83.70863
"27",207.8,75.97896,31.30436,14.36658,5.28859060402684,2.17897091722595,13.85234,8.09928,1.71031746031746,0,811,11.94001,25.32632,13.008475,83.66042
"28",169.89204,54.22018,30.17946,15.68432,3.45696721311475,1.92418032786885,14.81654,3.18186,4.65656565656566,0,811,6.66905,17.1949,13.008475,70.29018
