"","date","image","objective","time_pf","num_of_cells","meiotic","stage","cell_diameter_um","spindle_length__asters_um","spindle_length_poles_um","spindle_width_um","spindle_aspect_ratio_asters_um","spindle_aspect_ratio_poles_um","centrosome","metaphase_plate_lengt_h_um","metaphase_plate_width_um","metaphase_plate_aspect_ratio_um","distance_between_chromosomes_um","microscope","fixation","organism","phylum","classification","genome","chromosomes","day","cleavage_type","num_of_cells_CAT","num_of_cells_NUM","classification_CAT","phylum_CAT","organism_CAT","cleavage_type_CAT","fixation_CAT","microscope_CAT","stage_CAT","astere.to.pole_distance_AVG","inner_aster_diameter_AVG","polar_body_diameter_AVG","outer_aster_diameter_AVG"
"2","2013-11-06 00:00:00","131106batstar_35hpf_6","40x",210,"1",0,"m",163.05828,24.85329,18.28827,9.97689,2.49108589951378,1.83306320907617,1,9.02286,2.40933,3.74496644295302,0,"mm40","pf","asterina_miniata","echinodermata","bd",811,36,"2013-11-06 00:00:00","rah",1,1,1,1,1,1,1,1,2,0,6.98544,NA,36.245055
"4","2013-11-06 00:00:00","131106batstar_35hpf_10","40x",210,"1",0,"m",194.04,42.39774,42.39774,17.4636,2.42777777777778,2.42777777777778,1,7.72926,4.02633,1.91967871485944,0,"mm40","pf","asterina_miniata","echinodermata","bd",811,36,"2013-11-06 00:00:00","rah",1,1,1,1,1,1,1,1,2,0,8.76414,8.23053,38.95353
"6","2013-11-06 00:00:00","131106batstar_35hpf_12_top","40x",210,"2",0,"m",149.05506,32.71191,22.20141,11.49687,2.84528832630098,1.93108298171589,1,10.38114,5.95056,1.7445652173913,0,"mm40","pf","asterina_miniata","echinodermata","bd",811,36,"2013-11-06 00:00:00","rah",2,2,1,1,1,1,1,1,2,NA,5.974815,10.55901,NA
"7","2013-11-06 00:00:00","131106batstar_35hpf_12_bottom","40x",210,"2",0,"m",150.36483,31.28895,17.9487,12.38622,2.52610966057441,1.4490861618799,1,11.22198,4.88334,2.29801324503311,0,"mm40","pf","asterina_miniata","echinodermata","bd",811,36,"2013-11-06 00:00:00","rah",2,2,1,1,1,1,1,1,2,4.62462,5.43312,10.55901,NA
"10","2013-11-06 00:00:00","131106batstar_35hpf_23","40x",210,"1",0,"m",181.28187,42.5271,27.3273,14.0679,3.02298850574713,1.94252873563218,1,13.48578,5.99907,2.24797843665768,0,"mm40","pf","asterina_miniata","echinodermata","bd",811,36,"2013-11-06 00:00:00","rah",1,1,1,1,1,1,1,1,2,3.79995,9.419025,10.55901,36.891855
"11","2013-11-06 00:00:00","131106batstar_35hpf_28_top","40x",210,"2",0,"m",160.27704,38.3229,24.67542,15.37767,2.49211356466877,1.60462670872766,1,15.89511,5.59482,2.84104046242775,0,"mm40","pf","asterina_miniata","echinodermata","bd",811,36,"2013-11-06 00:00:00","rah",2,2,1,1,1,1,1,1,2,2.02125,6.977355,10.55901,28.26516
"12","2013-11-06 00:00:00","131106batstar_35hpf_28_bottom","40x",210,"2",0,"m",151.41588,45.16281,30.0762,9.31392,4.84895833333333,3.22916666666667,1,15.78192,5.61099,2.81268011527377,0,"mm40","pf","asterina_miniata","echinodermata","bd",811,36,"2013-11-06 00:00:00","rah",2,2,1,1,1,1,1,1,2,NA,NA,10.55901,NA
"13","2013-11-06 00:00:00","131106batstar_35hpf_30","40x",210,"1",0,"m",191.33961,38.3229,24.14181,16.05681,2.38670694864048,1.50352467270896,1,14.52066,5.46546,2.65680473372781,0,"mm40","pf","asterina_miniata","echinodermata","bd",811,36,"2013-11-06 00:00:00","rah",1,1,1,1,1,1,1,1,2,3.565485,8.79648,11.246235,53.18313
"14","2013-11-06 00:00:00","131106batstar_35hpf_32_top","40x",210,"2",0,"m",177.2232,53.86227,33.98934,15.94362,3.37829614604463,2.13184584178499,1,10.59135,4.38207,2.4169741697417,0,"mm40","pf","asterina_miniata","echinodermata","bd",811,36,"2013-11-06 00:00:00","rah",2,2,1,1,1,1,1,1,2,6.039495,7.17948,11.246235,47.89554
"16","2014-06-03 00:00:00","miniata_t120m_20x__0","20x",120,"1",0,"m",125.70558,53.28812,30.11518,12.98456,4.1039603960396,2.31930693069307,1,15.2665,4.0175,3.8,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,2,2,5.57629,16.58424,11.246235,52.35606
"18","2014-06-03 00:00:00","miniata_t120m_20x__3","20x",120,"1",0,"m",217.8,73.18278,54.86298,26.54764,2.75665859564165,2.06658595641646,1,15.7486,9.03134,1.74377224199288,0,"mm20","df","asterina_miniata","echinodermata","bd",811,36,"2014-06-03 00:00:00","rah",1,1,1,1,1,1,2,2,2,8.8385,28.49211,11.246235,86.68158
